exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
termination_budgeted,350000,71101,10000,10.000,3,81615.10,50.16,305.15,99.33,125.95,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,4,81494.57,50.25,305.15,98.81,128.00,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,5,81410.77,50.31,317.44,99.84,128.51,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,6,80943.48,50.61,309.25,100.35,128.00,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,7,81498.04,50.25,315.39,98.30,125.44,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,8,81463.74,50.26,303.10,98.30,125.95,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,9,81277.23,50.39,317.44,100.35,129.02,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,350000,71101,10000,10.000,10,81136.14,50.48,292.86,100.35,125.95,665311.61,6.16,16.73,94.98,10346.73,35348466,35348469,10129.19,265544.29
termination_budgeted,400000,81267,10000,10.000,1,80771.49,50.72,337.92,99.84,123.90,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,2,81033.09,50.56,307.20,99.84,123.90,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,3,80010.08,51.17,321.54,101.89,124.42,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,4,79564.61,50.35,315.39,99.84,126.46,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,5,80987.80,50.56,323.58,99.33,129.53,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
termination_budgeted,400000,81267,10000,10.000,6,80936.89,50.62,354.30,100.35,125.95,665311.61,6.16,16.73,94.98,10370.26,36670841,36670846,10141.34,261284.11
