exp_mode,work_iters,configured_insn_count,time_limit_ns,time_limit_us,run_number,ops_sec,avg_latency_ms,max_latency_ms,p99_latency_ms,p999_latency_ms,baseline_ops_sec,baseline_avg_latency_ms,baseline_p99_latency_ms,baseline_max_latency_ms,avg_bpf_runtime_ns,bpf_invocations,termination_hits,avg_elapsed_ns_before_termination,avg_completed_work_iters_before_termination
# Baseline (no BPF, avg of 10/10 runs): 665311.61 ops/sec, 6.16 ms avg, 16.73 ms p99, 94.98 ms max latency
no_termination,300000,60935,0,0.000,3,161510.60,25.34,248.83,66.56,97.79,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,4,150462.80,27.20,126.46,75.26,99.84,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,5,156683.89,26.13,130.56,61.70,88.58,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,6,146724.09,27.89,123.90,75.78,97.79,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,7,146724.99,27.91,146.43,76.80,103.94,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,8,146272.83,27.99,141.31,77.31,104.96,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,9,148930.33,28.06,133.12,75.78,101.38,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,300000,60935,0,0.000,10,145435.67,28.15,142.34,77.31,106.50,665311.61,6.16,16.73,94.98,4514.51,63702399,0,0.00,0.00
no_termination,350000,71101,0,0.000,1,134043.35,30.55,142.34,80.89,104.96,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,2,128845.43,31.78,146.43,82.43,108.54,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,3,128709.98,31.80,152.57,81.41,104.96,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,4,130018.61,31.49,145.41,81.92,105.47,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,5,139974.86,29.23,264.19,62.98,84.99,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,6,130513.53,31.37,140.29,81.92,110.08,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,7,130761.00,31.30,143.36,80.89,108.54,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,8,128987.02,31.73,135.17,81.92,107.01,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,9,133623.58,30.63,133.12,79.87,103.94,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,350000,71101,0,0.000,10,139794.74,29.28,242.69,66.56,96.77,665311.61,6.16,16.73,94.98,5256.12,56279982,0,0.00,0.00
no_termination,400000,81267,0,0.000,1,123646.63,33.11,270.33,77.82,101.38,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,2,131517.80,32.21,278.53,71.17,103.42,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,3,124829.63,32.80,262.14,73.73,101.89,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,4,123544.50,33.15,268.29,84.99,115.20,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,5,131693.79,30.99,284.67,63.74,88.06,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,6,133940.38,30.57,266.24,65.28,87.04,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,7,124488.84,32.89,266.24,77.82,107.01,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,8,130660.17,31.17,272.38,67.07,94.72,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,9,124072.30,33.00,262.14,75.78,107.52,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,400000,81267,0,0.000,10,126058.79,32.47,261.12,72.19,98.81,665311.61,6.16,16.73,94.98,5996.17,54210363,0,0.00,0.00
no_termination,450000,91407,0,0.000,1,114959.66,35.62,264.19,80.38,108.03,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
no_termination,450000,91407,0,0.000,2,115405.49,35.47,272.38,74.75,97.79,665311.61,6.16,16.73,94.98,6693.40,49342625,0,0.00,0.00
