kernel_type,shape,param_name,param_value,run,verification_time_ns,processed_insns,max_states_per_insn,total_states,peak_states,unwind_bytes,memory_source
kflex,mem_big_single_desc,FRAME_BYTES,392,1,90000,8,0,0,0,1288,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,392,2,120000,8,0,0,0,1288,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,392,3,177000,8,0,0,0,1288,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,448,1,133000,8,0,0,0,1456,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,448,2,89000,8,0,0,0,1456,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,448,3,123000,8,0,0,0,1456,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,504,1,106000,8,0,0,0,1624,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,504,2,111000,8,0,0,0,1624,unwind_total
kflex,mem_big_single_desc,FRAME_BYTES,504,3,125000,8,0,0,0,1624,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,1,1,56000,8,0,0,0,280,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,1,2,191000,8,0,0,0,280,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,1,3,60000,8,0,0,0,280,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,2,1,118000,18,0,1,1,560,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,2,2,113000,18,0,1,1,560,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,2,3,76000,18,0,1,1,560,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,3,1,103000,28,0,2,2,840,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,3,2,128000,28,0,2,2,840,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,3,3,150000,28,0,2,2,840,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,4,1,150000,38,1,3,3,1120,unwind_total
kflex,mem_deep_ladder,FRAME_DEPTH,4,2,328000,38,1,3,3,1120,unwind_total
